There are 427 games and 53 players in total.
Minimum games played is 20.
Minimum games played this month is 5.
Th000 , 1734.99 , 77.7778 , 36 , 36 , 77.7778
WFZ , 1655.32 , 66.6667 , 30 , 30 , 66.6667
120 , 1642.34 , 64.5161 , 31 , 31 , 64.5161
Check , 1631.31 , 71.4286 , 42 , 42 , 71.4286
Focus , 1614.62 , 60 , 40 , 40 , 60
Sonik , 1583.09 , 61.2903 , 31 , 31 , 61.2903
ReMinD , 1571.96 , 60.4167 , 48 , 48 , 60.4167
Romantic , 1570.11 , 60 , 45 , 45 , 60
Colorful , 1542.95 , 53.8462 , 39 , 39 , 53.8462
Foggy , 1511.27 , 48.4375 , 64 , 64 , 48.4375
Life , 1500.1 , 40 , 30 , 30 , 40
SoK , 1483.94 , 42.1053 , 38 , 38 , 42.1053
Happy , 1473.78 , 50 , 26 , 26 , 50
XiaoKK , 1451.04 , 36.1111 , 36 , 36 , 36.1111
Fly100% , 1445.7 , 37.8378 , 37 , 37 , 37.8378
Moon , 1445.32 , 41.6667 , 24 , 24 , 41.6667
Lawliet , 1421.58 , 40 , 30 , 30 , 40
