Gcup 82(10.30)
Sonik Rudan
Sonik Rudan
FoCuS OrcWorker
FoCuS OrcWorker
Lucifer Foggy
Lucifer Foggy
SoK ReMinD
SoK ReMinD
FoCuS Sonik
FoCuS Sonik
Foggy SoK
SoK Foggy
SoK Foggy
SoK FoCuS
FoCuS SoK
FoCuS SoK
FoCuS SoK

GCUP 81(10.23)
Foggy Rudan
Foggy Rudan
Sonik Blade
Sonik Blade
ReMinD Anima
ReMinD Anima
OrcWorker Happy
Happy OrcWorker
OrcWorker Happy
Foggy Sonik
Sonik Foggy
Sonik Foggy
OrcWorker Sonik
Sonik OrcWorker
Sonik OrcWorker
Sonik OrcWorker

gcup 80(10.16)
Foggy Lucifer
Lucifer Foggy
Foggy Lucifer
Check Xelsing
Check Xelsing
Happy Rudan
Happy Rudan
Sonik SoK
Sonik SoK
Happy Sonik
Sonik Happy
Sonik Happy
Foggy Check
Check Foggy
Check Foggy
Check Sonik
Check Sonik
Sonik Check
Sonik Check
Check Sonik

gcup 79(10.09)
Rudan Lucifer
Lucifer Rudan
Rudan Lucifer
Cechi Check
Check Cechi
Check Cechi
ReMinD Sheik
Sheik ReMinD
ReMinD Sheik
Foggy Sonik
Sonik Foggy
Foggy Sonik
Check Rudan
Check Rudan
Foggy ReMinD
ReMinD Foggy
Foggy ReMinD
Check Foggy
Check Foggy
Foggy Check
Foggy Check
Check Foggy

gcup 78(10.02)
ReMinD Foggy
ReMinD Foggy
Sonik Passion
Sonik Passion
Agatha iNSUPERABLE
iNSUPERABLE Agatha
Agatha iNSUPERABLE
Happy Sheik
Happy Sheik
ReMinD Sonik
Sonik ReMinD
ReMinD Sonik
Happy Agatha
Happy Agatha
ReMinD Happy
Happy ReMinD
ReMinD Happy
ReMinD Happy
